SmokeTypicalAmmount	SmokeSinceStop	RR
0	0	0.081
0-8.5	0	0.333
8.5-14.5	0	0.782
14.5-19.5	0	0.916
19.5-25.0	0	1.864
25.0-30.0	0	1.988
30.0-35.0	0	3.008
35.0+	0	4.005
0	0-10.0	0.081
0-8.5	0-10.0	0.21978
8.5-14.5	0-10.0	0.51612
14.5-19.5	0-10.0	0.60456
19.5-25.0	0-10.0	1.23024
25.0-30.0	0-10.0	1.31208
30.0-35.0	0-10.0	1.98528
35.0+	0-10.0	2.6433
0	10.0-20.0	0.081
0-8.5	10.0-20.0	0.14652
8.5-14.5	10.0-20.0	0.34408
14.5-19.5	10.0-20.0	0.40304
19.5-25.0	10.0-20.0	0.82016
25.0-30.0	10.0-20.0	0.87472
30.0-35.0	10.0-20.0	1.32352
35.0+	10.0-20.0	1.7622
0	20.0-35.0	0.081
0-8.5	20.0-35.0	0.081
8.5-14.5	20.0-35.0	0.1564
14.5-19.5	20.0-35.0	0.1832
19.5-25.0	20.0-35.0	0.3728
25.0-30.0	20.0-35.0	0.3976
30.0-35.0	20.0-35.0	0.6016
35.0+	20.0-35.0	0.801
0	35.0-72.5	0.081
0-8.5	35.0-72.5	0.081
8.5-14.5	35.0-72.5	0.081
14.5-19.5	35.0-72.5	0.0916
19.5-25.0	35.0-72.5	0.1864
25.0-30.0	35.0-72.5	0.1988
30.0-35.0	35.0-72.5	0.3008
35.0+	35.0-72.5	0.4005
0	72.5+	0.081
0-8.5	72.5+	0.081
8.5-14.5	72.5+	0.081
14.5-19.5	72.5+	0.081
19.5-25.0	72.5+	0.081
25.0-30.0	72.5+	0.081
30.0-35.0	72.5+	0.081
35.0+	72.5+	0.081
