PhysicalActivityTotal	PhysicalActivityHard	RR
-31.525225	0	1.0
31.525225-47.42036	0	0.9
47.42036-56.886245	0	0.88
56.886245-78.256515	0	0.84
78.256515-97.136565	0	0.72
97.136565+	0	0.72
-31.525225	0-2.025	0.9
31.525225-47.42036	0-2.025	0.81
47.42036-56.886245	0-2.025	0.792
56.886245-78.256515	0-2.025	0.756
78.256515-97.136565	0-2.025	0.648
97.136565+	0-2.025	0.648
-31.525225	2.025-3.525	0.83
31.525225-47.42036	2.025-3.525	0.747
47.42036-56.886245	2.025-3.525	0.7304
56.886245-78.256515	2.025-3.525	0.6972
78.256515-97.136565	2.025-3.525	0.5976
97.136565+	2.025-3.525	0.5976
-31.525225	3.525+	0.83
31.525225-47.42036	3.525+	0.747
47.42036-56.886245	3.525+	0.7304
56.886245-78.256515	3.525+	0.6972
78.256515-97.136565	3.525+	0.5976
97.136565+	3.525+	0.5976
