#
#
SmokeDurationCumulative	SmokeSinceStop	RR
0	0	1(0)[Global_min]
0,15	0	1.4
15,30	0	2.7
30,40	0	3.7
40,50	0	4.6
50+	0	4.6
0	0,1	1
0,15	0,1	1.4
15,30	0,1	2.7
30,40	0,1	3.7
40,50	0,1	4.6
50+	0,1	4.6
0	1,4	1
0,15	1,4	1.24
15,30	1,4	2.02
30,40	1,4	2.62
40,50	1,4	3.16
50+	1,4	3.16
0	4,20	1
0,15	4,20	1.12
15,30	4,20	1.51
30,40	4,20	1.81
40,50	4,20	2.08
50+	4,20	2.08
0	20,21	1.0
0,15	20,21	1.0
15,30	20,21	1.0
30,40	20,21	1.0
40,50	20,21	1.0
50+	20,21	1.0
0	21+	1.0
0,15	21+	1.0
15,30	21+	1.0
30,40	21+	1.0
40,50	21+	1.0
50+	21+	1.0
