#
#The numbers are from Low cigarette consumption and risk of coronary heart disease and stroke: meta-analysis of 141 cohort studies in 55 study reports AND
#Smoking, smoking cessation and heart disease risk: A 16-year follow-up study
#
#
SmokeTypicalAmount	SmokeSinceStop	RR
0	0	1.0(0)[Global_min]
0	0,4.5	1
0	4.5,9.5	1
0	9.5,14.5	1
0	14.5,19.5	1
0	19.5,30	1
0	30+	1
0,2.5	0	1.16(0.1)
0,2.5	0,4.5	1.12(0.1)
0,2.5	4.5,9.5	1.08(0.1)
0,2.5	9.5,14.5	1.08(0.1)
0,2.5	14.5,19.5	1.04(0.1)
0,2.5	19.5,30	1.04(0.1)
0,2.5	30+	1.04
2.5,12.5	0	1.24
2.5,12.5	0,4.5	1.18
2.5,12.5	4.5,9.5	1.12
2.5,12.5	9.5,14.5	1.12
2.5,12.5	14.5,19.5	1.12
2.5,12.5	19.5,30	1.06
2.5,12.5	30+	1.06
12.5,30	0	1.48
12.5,30	0,4.5	1.36
12.5,30	4.5,9.5	1.24
12.5,30	9.5,14.5	1.24
12.5,30	14.5,19.5	1.12
12.5,30	19.5,30	1.12
12.5,30	30+	1.12
30+	0	1.48
30+	0,4.5	1.36
30+	4.5,9.5	1.24
30+	9.5,14.5	1.24
30+	14.5,19.5	1.12
30+	19.5,30	1.12
30+	30+	1.12
