#credibility=76667
#See BMI,Gender,Age.txt for explanation of credibility and source
#
#
#
#
Age	Gender	Drinking	freq
,25	Male	0	0.1705
25,45	Male	0	0.1055
45,65	Male	0	0.143
65,75	Male	0	0.198
75+	Male	0	0.2585
,25	Female	0	0.2055
25,45	Female	0	0.163
45,65	Female	0	0.193
65,75	Female	0	0.279
75+	Female	0	0.337
,25	Male	0,1	0.039
25,45	Male	0,1	0.051
45,65	Male	0,1	0.052
65,75	Male	0,1	0.055
75+	Male	0,1	0.047
,25	Female	0,1	0.0595
25,45	Female	0,1	0.0905
45,65	Female	0,1	0.0935
65,75	Female	0,1	0.073
75+	Female	0,1	0.058
,25	Male	1,3	0.1475
25,45	Male	1,3	0.1885
45,65	Male	1,3	0.155
65,75	Male	1,3	0.1245
75+	Male	1,3	0.092
,25	Female	1,3	0.161
25,45	Female	1,3	0.178
45,65	Female	1,3	0.141
65,75	Female	1,3	0.0915
75+	Female	1,3	0.0605
,25	Male	14,100	0.0365
25,45	Male	14,100	0.032
45,65	Male	14,100	0.031
65,75	Male	14,100	0.0245
75+	Male	14,100	0.014
,25	Female	14,100	0.016
25,45	Female	14,100	0.0115
45,65	Female	14,100	0.013
65,75	Female	14,100	0.01025
75+	Female	14,100	0.00575
,25	Male	3,7	0.05225
25,45	Male	3,7	0.06125
45,65	Male	3,7	0.059
65,75	Male	3,7	0.04875
75+	Male	3,7	0.0445
,25	Female	3,7	0.041
25,45	Female	3,7	0.045
45,65	Female	3,7	0.046
65,75	Female	3,7	0.0355
75+	Female	3,7	0.0325
,25	Male	7,14	0.05225
25,45	Male	7,14	0.06125
45,65	Male	7,14	0.059
65,75	Male	7,14	0.04875
75+	Male	7,14	0.0445
,25	Female	7,14	0.016
25,45	Female	7,14	0.0115
45,65	Female	7,14	0.013
65,75	Female	7,14	0.01025
75+	Female	7,14	0.00575
