#credibility=461521
#461521 is the number of non-missing observations for these values for the dataset LLCP2013
#
#
Drinking MaxDrinking freq
0 ,4 0.512678457276795
0,7 ,4 0.215107607074366
0,7 4,5 0.00543362454719795
0,7 5,10 0.00500745791604517
0,7 10,20 0.000532708288940976
0,7 20,100 0.000106541657788195
7,14 ,4 0.106008949499254
7,14 4,5 0.0182186234817814
7,14 5,10 0.0201363733219689
7,14 10,20 0.00202429149797571
7,14 20,100 0.00021308331557639
14,100 ,4 0.0284466226294481
14,10 4,5 0.0168335819305348
14,100 5,10 0.0478372043468996
14,100 10,20 0.0184317067973578
14,100 20,100 0.00298316641806947
