#credibility=300
#
#
SmokeTypicalAmount	SmokeSinceStop	freq
0	0	0.586
0	0,1	0
0	1,3	0
0	3,5	0
0	5,10	0
0	10,15	0
0	15+	0
0,14	0	0.081673794
0,14	0,1	0.005400174
0,14	1,3	0.002914380
0,14	3,5	0.008314554
0,14	5,10	0.013114709
0,14	10,15	0.016114806
0,14	15+	0.039772712
14,25	0	0.079518743
14,25	0,1	0.005257685
14,25	1,3	0.002837481
14,25	3,5	0.008095165
14,25	5,10	0.012768663
14,25	10,15	0.015689599
14,25	15+	0.038723266
25,40	0	0.0187190514
25,40	0,1	0.0012376814
25,40	1,3	0.0006679551
25,40	3,5	0.0019056365
25,40	5,10	0.0030057978
25,40	10,15	0.0036933986
25,40	15+	0.0091156220
40+	0	0.0187848457
40+	0,1	0.0012420317
40+	1,3	0.0006703028
40+	3,5	0.0019123345
40+	5,10	0.0030163627
40+	10,15	0.0037063803
40+	15+	0.0091476619
