# credibility=20015
#
#Fryar CD, Gu Q, Ogden CL. Anthropometric reference data for children and
#adults: United States, 2007–2010. National Center for Health Statistics. Vital
#Health Stat 11(252). 2012.
#
#The statistics are put in the format percentiles conditioned on age and gender.
#The DeathCauses program want fixed categories for all ages and genders, so a 
#pre-computation has taken place and is in the file WaistCircumference-Gender-Age.R
#and pre-data is in the file waistCircumference-Gender-Age.txt
#
#The children are put in the same category as 20-29 category and are simply not recorded
#That is because the one typing in is a bit lazy. In the same way, 
#Gender-Age is not taken into account.
Age	Gender	WaistCircumference	freq
-30	Male	-80	0.105645161290323
30-40	Male	-80	0.0322580645161291
40-50	Male	-80	0.0235849056603774
50-60	Male	-80	0.0213675213675214
60-70	Male	-80	0.0189393939393939
70-80	Male	-80	0.0154320987654321
80+	Male	-80	0.0178571428571429
-30	Female	-80	0.105645161290323
30-40	Female	-80	0.0322580645161291
40-50	Female	-80	0.0235849056603774
50-60	Female	-80	0.0213675213675214
60-70	Female	-80	0.0189393939393939
70-80	Female	-80	0.0154320987654321
80+	Female	-80	0.0178571428571429
-30	Male	80-90	0.1415770609319
30-40	Male	80-90	0.108918406072106
40-50	Male	80-90	0.0688569548047389
50-60	Male	80-90	0.0487937689550593
60-70	Male	80-90	0.0407380254154448
70-80	Male	80-90	0.0285679012345679
80+	Male	80-90	0.0511083743842364
-30	Female	80-90	0.1415770609319
30-40	Female	80-90	0.108918406072106
40-50	Female	80-90	0.0688569548047389
50-60	Female	80-90	0.0487937689550593
60-70	Female	80-90	0.0407380254154448
70-80	Female	80-90	0.0285679012345679
80+	Female	80-90	0.0511083743842364
-30	Male	90-100	0.115163098878695
30-40	Male	90-100	0.143034055727554
40-50	Male	90-100	0.162608644585389
50-60	Male	90-100	0.14094982078853
60-70	Male	90-100	0.119086021505376
70-80	Male	90-100	0.105350649350649
80+	Male	90-100	0.123602050326188
-30	Female	90-100	0.115163098878695
30-40	Female	90-100	0.143034055727554
40-50	Female	90-100	0.162608644585389
50-60	Female	90-100	0.14094982078853
60-70	Female	90-100	0.119086021505376
70-80	Female	90-100	0.105350649350649
80+	Female	90-100	0.123602050326188
-30	Male	100-110	0.0756828607172643
30-40	Male	100-110	0.114635627530364
40-50	Male	100-110	0.123680838233077
50-60	Male	100-110	0.138888888888889
60-70	Male	100-110	0.131803569449063
70-80	Male	100-110	0.156531703590527
80+	Male	100-110	0.16457528957529
-30	Female	100-110	0.0756828607172643
30-40	Female	100-110	0.114635627530364
40-50	Female	100-110	0.123680838233077
50-60	Female	100-110	0.138888888888889
60-70	Female	100-110	0.131803569449063
70-80	Female	100-110	0.156531703590527
80+	Female	100-110	0.16457528957529
-30	Male	110-120	0.0378933566433567
30-40	Male	110-120	0.0521538461538462
40-50	Male	110-120	0.067859565807327
50-60	Male	110-120	0.0841836734693877
60-70	Male	110-120	0.104115529373261
70-80	Male	110-120	0.115608875128999
80+	Male	110-120	0.0989795918367347
-30	Female	110-120	0.0378933566433567
30-40	Female	110-120	0.0521538461538462
40-50	Female	110-120	0.067859565807327
50-60	Female	110-120	0.0841836734693877
60-70	Female	110-120	0.104115529373261
70-80	Female	110-120	0.115608875128999
80+	Female	110-120	0.0989795918367347
-30	Male	120-130	0.00600961538461538
30-40	Male	120-130	0.0261341463414634
40-50	Male	120-130	0.0306818181818182
50-60	Male	120-130	0.0408163265306123
60-70	Male	120-130	0.0592063492063493
70-80	Male	120-130	0.0539186079953984
80+	Male	120-130	0.0232163939956148
-30	Female	120-130	0.00600961538461538
30-40	Female	120-130	0.0261341463414634
40-50	Female	120-130	0.0306818181818182
50-60	Female	120-130	0.0408163265306123
60-70	Female	120-130	0.0592063492063493
70-80	Female	120-130	0.0539186079953984
80+	Female	120-130	0.0232163939956148
-30	Male	130-160	0.0180288461538461
30-40	Male	130-160	0.0228658536585366
40-50	Male	130-160	0.0227272727272727
50-60	Male	130-160	0.025
60-70	Male	130-160	0.026111111111111
70-80	Male	130-160	0.0245901639344262
80+	Male	130-160	0.0206611570247934
-30	Female	130-160	0.0180288461538461
30-40	Female	130-160	0.0228658536585366
40-50	Female	130-160	0.0227272727272727
50-60	Female	130-160	0.025
60-70	Female	130-160	0.026111111111111
70-80	Female	130-160	0.0245901639344262
80+	Female	130-160	0.0206611570247934
-30	Male	160+	0
30-40	Male	160+	0
40-50	Male	160+	0
50-60	Male	160+	0
60-70	Male	160+	0
70-80	Male	160+	0
80+	Male	160+	0
-30	Female	160+	0
30-40	Female	160+	0
40-50	Female	160+	0
50-60	Female	160+	0
60-70	Female	160+	0
70-80	Female	160+	0
80+	Female	160+	0
